"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"3V";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";"";"";"";"";
"BATTERY";"CR2032";"BATTERY_CR2032_VERT";"BATTERY_CR2032";"CR2032 Vertical Battery Holder";"";"";"";"";"";
"C1";"0.1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";
"DISP";"ADAFRUIT_7SEG_BACKPACK";"ADAFRUIT_7SEG_BACKPACK";"ADAFRUIT_7SEG_BACKPACK";"Adafruit 7-Segment LED I2C Backpack";"";"";"";"";"";
"EDGE_BOT1";"";"CON-EDGE-M-06X2";"PCB_EDGE_CONNECTOR_6X2";"Male 6x2 PCB Edge connector";"";"";"";"";"";
"EDGE_TOP";"";"CON-EDGE-M-06X2";"PCB_EDGE_CONNECTOR_6X2";"Male 6x2 PCB Edge connector";"";"";"";"";"";
"FTDI";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic header with labels";"";"";"";"";"";
"GND";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";"";"";"";"";
"LED1";"";"LED_RGB_CA_PTHOFFSET_HEX";"LED_RGB_PTH_OFFSETPAD";"RGB LED Common Anode";"";"";"";"";"";
"LED2";"";"LED_RGB_CA_PTHOFFSET_HEX";"LED_RGB_PTH_OFFSETPAD";"RGB LED Common Anode";"";"";"";"";"";
"LED3";"";"LED_RGB_CA_PTHOFFSET_HEX";"LED_RGB_PTH_OFFSETPAD";"RGB LED Common Anode";"";"";"";"";"";
"PHOTOCELL";"PHOTOCELLPTH";"PHOTOCELLPTH";"PHOTOCELL";"CdS photoresistor. This is a low cost way to detect light levels. Resistance decreases with more incoming light. SparkFun SKU: SEN-09088";"";"";"";"";"";
"PROMINI_3V";"ARDUINO_PRO_MINI";"ARDUINO_PRO_MINI";"ARDUINO_PRO_MINI";"";"";"";"";"";"";
"R1";"470";"R-US_R1206W";"R1206W";"RESISTOR, American symbol";"";"";"";"";"";
"R2";"470";"R-US_R1206W";"R1206W";"RESISTOR, American symbol";"";"";"";"";"";
"R3";"68";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R4";"5.6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R5";"5.6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R6";"";"R-US_R1206W";"R1206W";"RESISTOR, American symbol";"";"";"";"";"";
"R7";"470";"R-US_R1206W";"R1206W";"RESISTOR, American symbol";"";"";"";"";"";
"R8";"";"R-US_R1206W";"R1206W";"RESISTOR, American symbol";"";"";"";"";"";
"R9";"68";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R10";"5.6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R11";"5.6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R12";"68";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R13";"10k";"R-US_R1206W";"R1206W";"RESISTOR, American symbol";"";"";"";"";"";
"R14";"5.6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R15";"5.6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R16";"10k";"R-US_R1206W";"R1206W";"RESISTOR, American symbol";"";"";"";"";"";
"R17";"68";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R18";"5.6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"R19";"5.6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";
"RTC";"DS3231SN";"DS3231SN";"SOIC127P1032X265-16N";"Extremely Accurate I2C-Integrated RTC/TCXO/Crystal";"DS3231SN#";"1593292";"68K3406";"SOIC-16";"Maxim";
"SPEAKER_JACK";"JST-PH_2-PIN_HEADER";"JST-PH_2-PIN_HEADER";"JST_B2B-PH_HEADER";"2-pin JST PH Shrouded Header, top entry";"";"";"";"";"";
"TA";"MMPQ2222ACT";"TRANSISTOR_ARARY_NPN_ISO4";"SOIC-16";"NPN Transistor Array";"";"";"";"";"";
"U$1";"SPARKFUN_WTV020SD";"SPARKFUN_WTV020SD";"SPARKFUN_WTV020SD_BREAKOUT";"Sparkfun Audio Breakout board for WTV020SD";"";"";"";"";"";
"VRAW";"";"2,15/1,0";"2,15/1,0";"THROUGH-HOLE PAD";"";"";"";"";"";
